Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_TOTAL_RM,YR_BUILT,nbh_name
1703096000,595000,227.97,2610,Two_Fam_Stack,4239,2,6,2,2,2,0,R2,N,TF,G,12,2012,Dorchester
1810870020,595000,209.36,2842,Other,4422,1,3,2,1,1,1,R1,N,OH,H,7,1993,Hyde Park
1501131000,595000,163.78,3633,Decker,5502,3,9,3,0,3,0,R3,Y,DK,F,15,1905,Dorchester
2009106000,593500,258.04,2300,Two_Fam_Stack,4050,2,5,3,0,2,0,R2,N,TF,H,9,1909,West Roxbury
2010359000,593000,262.85,2256,Two_Fam_Stack,3661,2,4,2,0,2,0,R2,N,TF,G,10,1920,West Roxbury
103640000,592000,292.49,2040,Decker,3400,3,5,3,0,3,0,R3,N,DK,F,11,1880,East Boston
2004056000,591000,374.05,1580,Colonial,2688,2,3,1,0,1,0,R1,Y,CL,G,9,1926,West Roxbury
701206000,590000,413.17,1428,Row_Middle,2380,2,3,1,0,1,0,R1,Y,RM,G,7,1900,South Boston
103794000,590000,327.78,1880,Colonial,2964,2.5,4,2,1,1,0,R1,Y,CL,M,6,2006,East Boston
102735000,590000,275.7,2140,Conventional,4005,2,5,2,0,2,0,R2,N,CV,G,13,1873,East Boston
1903006000,590000,255.41,2310,Two_Fam_Stack,3854,2,4,2,0,2,0,R2,Y,TF,H,10,1910,Roslindale
1812256060,590000,194.59,3032,Colonial,4888,2,4,2,1,1,0,R1,N,CL,L,8,2010,Hyde Park
1805157000,590000,179.55,3286,Conventional,5092,3,6,2,0,2,0,R2,Y,CV,G,12,1927,Roslindale
1402733000,590000,143.17,4046,Conventional,6487,2.5,8,3,1,3,0,R3,N,CV,H,13,1910,Dorchester
2001886000,589500,294.46,1688,Colonial,3136,2,3,1,1,1,1,R1,Y,CL,G,7,1932,West Roxbury
1604222000,588000,205.59,2848,Semi_Det,4687,2,4,2,0,2,0,R2,Y,SD,G,10,1940,Dorchester
701786000,587500,464.06,1266,Row_Middle,1899,2,3,1,1,1,0,R1,Y,RM,F,6,1900,South Boston
104852000,587500,230.57,2548,Semi_Det,3451,3,4,2,0,2,0,R2,N,SD,F,14,1910,East Boston
101240000,587500,122.93,4779,Decker,7425,3,8,3,0,3,0,R3,Y,DK,F,19,1910,East Boston
2010404001,586500,293.25,2000,Colonial,3072,2,4,2,1,1,1,R1,Y,CL,G,6,1960,West Roxbury
2008589000,585800,281.63,2080,Two_Fam_Stack,3472,2,4,2,0,2,0,R2,N,TF,H,10,1920,West Roxbury
1901496001,585000,459.18,1274,Colonial,1898,2,3,1,0,1,1,R1,Y,CL,G,6,1959,Jamaica Plain
1900144000,585000,452.44,1293,Colonial,2263,2,2,2,0,1,0,R1,Y,CL,G,7,1910,Jamaica Plain
2006956001,585000,357.14,1638,Colonial,2444,2,4,3,0,2,0,R1,N,CL,G,8,1971,West Roxbury
1502583000,585000,308.22,1898,Conventional,3162,2,2,3,1,2,0,R2,Y,CV,G,6,1930,Dorchester
1603231000,585000,272.09,2150,Two_Fam_Stack,3589,2,5,2,0,2,0,R2,N,TF,H,11,1920,Dorchester
1603603000,585000,250,2340,Two_Fam_Stack,4014,2,4,2,0,2,0,R2,N,TF,H,12,1930,Dorchester
2002163000,585000,225.69,2592,Two_Fam_Stack,4490,2,5,2,0,2,0,R2,Y,TF,H,12,1920,West Roxbury
1602621000,585000,202.42,2890,Conventional,4221,2.5,8,3,0,3,0,R3,Y,CV,G,16,1900,Dorchester
1401483000,585000,160.23,3651,Decker,4996,3,6,3,0,3,3,R3,N,DK,F,15,1900,Dorchester
701672000,584000,463.86,1259,Semi_Det,1410,2,3,2,1,1,0,R1,Y,SD,F,5,1873,South Boston
1812256100,582000,240.69,2418,Colonial,3800,2,4,2,1,1,0,R1,N,CL,G,8,2013,Hyde Park
2005406000,581000,343.79,1417,Colonial,2275,2,3,1,1,1,0,R1,Y,CL,H,6,1914,Roslindale
602134000,580000,487.8,1189,Row_Middle,1789,2,4,1,1,1,0,R1,Y,RM,M,7,1900,South Boston
2005026000,580000,387.18,1498,Colonial,2629,2,4,2,0,1,0,R1,Y,CL,G,7,1889,Roslindale
701397000,580000,344.01,1686,Row_End,2592,3,4,2,0,1,0,R1,N,RE,F,9,1890,South Boston
2003181020,580000,326.58,1430,Colonial,2585,2,2,1,0,1,1,R1,Y,CL,H,7,1925,West Roxbury
1805373000,580000,306.88,1890,Conventional,3330,2.5,6,3,0,3,0,R3,N,CV,G,14,1915,Roslindale
1100928000,580000,283.9,2043,Conventional,3342,2,4,2,0,2,0,R2,N,CV,G,8,1885,Roxbury
