Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_TOTAL_RM,YR_BUILT,Latitude,Longitude
203151000,1775000,893.76,1986,Semi_Det,2680,3,5,3,1,1,1,R1,Y,SD,F,7,1855,42.37663,-71.06201
1000685000,1760000,365.9,4810,Decker,7275,3,7,3,1,3,1,R3,N,DK,G,14,1905,42.33142,-71.10213
1000684000,1750000,377.56,4635,Decker,6330,3,8,3,0,3,0,R3,N,DK,H,17,1895,42.33133,-71.1022
300217000,1717500,0,1344,Row_Middle,1792,3,3,1,1,1,0,R1,Y,RM,G,6,1860,42.36006,-71.06624
1000769000,1700000,428.54,3967,Decker,6029,3,6,4,0,3,0,R3,N,DK,G,14,1890,42.33129,-71.10394
502181000,1665000,886.11,1879,Row_Middle,2250,3.5,4,3,0,1,3,R1,Y,RM,G,10,1827,42.36059,-71.0668
1902291001,1661000,494.49,3359,Colonial,5810,2.5,5,4,1,1,1,R1,Y,CL,L,10,1935,42.31287,-71.12864
203776000,1654250,728.42,1840,Row_Middle,2524,3,4,2,1,1,0,R1,Y,RM,F,8,1870,42.37353,-71.06353
400104000,1650000,726.23,2272,Row_Middle,2448,3,4,2,0,2,0,R2,Y,RM,M,9,1868,42.34587,-71.07351
1000089000,1620000,578.78,0,Row_Middle,0,3,0,0,0,0,0,CM,N,RM,U,0,1999,42.33403,-71.10291
1001435000,1602000,345.85,4632,Decker,6634,3.5,9,3,0,3,0,R3,N,DK,G,18,1905,42.33162,-71.11004
502207000,1600000,0,1458,Row_End,2220,2.5,3,2,1,1,0,R1,Y,RE,S,5,1890,42.360817,-71.068335
203118000,1575000,602.99,2612,Row_Middle,2807,3,4,2,1,1,1,R1,Y,RM,M,8,1865,42.37669,-71.06254
1000501000,1550000,519.79,2982,Decker,4134,3,12,4,0,3,0,R3,N,DK,F,19,1905,42.33089,-71.09773
1001190000,1515000,351.18,4314,Decker,6642,3,12,4,0,3,0,R3,N,DK,G,16,1910,42.330692,-71.104497
203135000,1502741,593.03,2467,Row_Middle,3644,3,3,3,0,1,0,R1,Y,RM,M,8,1839,42.37655,-71.06227
203271000,1500000,813.01,1845,Row_Middle,2720,3,3,2,1,1,2,R1,Y,RM,M,6,1875,42.37467,-71.06144
1000586000,1500000,452.9,3312,Decker,4416,3,11,3,0,3,0,R3,N,DK,F,18,1900,42.33125,-71.09955
603637000,1434500,353.67,4056,Decker,5766,3,7,3,0,3,0,R3,N,DK,F,17,1890,42.33641,-71.03059
2100594000,1400000,248.8,5627,Other,8487,2.5,14,4,0,2,2,R2,N,OH,H,20,1890,42.353807,-71.12964
1901749000,1400000,217.97,6423,Row_End,8904,3,9,3,0,3,0,R3,Y,RE,F,21,1912,42.30904,-71.11795
1901970000,1380000,552.88,2496,Colonial,4470,2,3,2,1,1,1,R1,Y,CL,H,7,1929,42.31775,-71.11446
701410000,1370000,379.19,3613,Decker,3919,3,6,4,0,3,0,R3,Y,DK,F,17,1890,42.33088,-71.04723
1000594000,1369000,371.91,3681,Decker,5250,3,9,3,0,3,0,R3,Y,DK,F,15,1905,42.33087,-71.0986
203495000,1350000,479.4,2816,Row_Middle,4155,3,4,1,1,1,0,R1,Y,RM,G,8,1860,42.374156,-71.058772
1900690000,1350000,380.5,3548,Conventional,5595,2,6,3,0,2,1,R2,Y,CV,G,12,1868,42.31781,-71.10902
602047000,1350000,369.86,3650,Semi_Det,5408,2.5,6,3,0,3,0,R3,N,SD,G,13,1880,42.33527,-71.04402
601430000,1350000,301,3474,Row_Middle,4632,3,6,3,0,3,0,R3,Y,RM,F,13,1892,42.34005,-71.05095
602085000,1335000,667.17,2071,Row_Middle,2888,3,3,3,0,3,0,R3,N,RM,M,7,1890,42.33479,-71.04127
1901707000,1300000,554.84,2343,Colonial,4366,2,3,2,1,1,2,R1,Y,CL,G,10,1920,42.311368,-71.118682
602053000,1300000,431.32,3014,Conventional,5016,2,5,3,0,3,0,R3,Y,CV,G,12,1930,42.33529,-71.04318
2004238012,1299000,321.77,4037,Colonial,7144,2,5,3,1,1,3,R1,Y,CL,H,8,1940,42.29072,-71.14631
1902379000,1295000,474.36,2730,Colonial,4128,2,3,2,1,1,2,R1,Y,CL,G,7,1928,42.31038,-71.12496
1000101000,1275000,391.83,3444,Row_Middle,3571,3,11,6,0,3,0,R3,N,RM,F,19,1900,42.33458,-71.10257
1600086030,1275000,252.78,5044,Conventional,9252,2.5,6,3,0,3,4,R2,N,CV,G,11,1900,42.30021,-71.0525
502133000,1274000,758.33,1680,Row_Middle,1680,3,2,2,0,1,0,R1,Y,RM,G,5,2006,42.360049,-71.067518
1902042000,1265000,376.71,3358,Conventional,6024,2,8,3,0,2,0,R2,N,CV,H,14,1923,42.3196,-71.11343
1900071001,1265000,264.2,4788,Decker,6690,3,6,3,0,3,0,R3,N,DK,F,15,1910,42.318271,-71.105007
2100974000,1250000,385.09,3246,Conventional,5753,2,11,4,0,2,0,R2,N,CV,H,14,1920,42.35042,-71.13552
1902033000,1250000,353.61,2954,Two_Fam_Stack,4946,2,6,2,0,2,2,R2,N,TF,H,16,1925,42.31973,-71.11532
2100798010,1235000,501.22,2464,Two_Fam_Stack,4086,2,10,3,0,2,0,R2,N,TF,G,16,1900,42.35158,-71.12888
1902351000,1233500,510.55,2416,Colonial,3746,2,4,2,1,1,2,R1,Y,CL,G,8,1960,42.31008,-71.12888
1901161000,1226000,389.08,3151,Conventional,4724,3,8,4,1,3,0,R3,Y,CV,M,16,1905,42.31027,-71.10855
1902371000,1217000,295.68,3546,Colonial,5948,2,5,3,1,1,3,R1,Y,CL,G,13,1921,42.31109,-71.12615
1901775000,1210000,429.84,2815,Colonial,4644,2,6,3,1,1,2,R1,Y,CL,G,11,1890,42.31053,-71.11772
604265000,1210000,410.03,1592,Conventional,2360,2,3,1,1,1,0,R1,N,CV,F,7,1900,42.33539,-71.0294
200323000,1202000,571.56,2103,Conventional,3351,2,3,3,0,2,3,R2,Y,CV,G,8,1855,42.377803,-71.064199
1902545000,1200000,484.46,1356,Other,2876,1,3,1,0,1,2,R1,N,OH,G,7,1947,42.30383,-71.12945
702567000,1200000,343.05,3522,Decker,5290,3,7,3,0,3,0,R3,Y,DK,F,17,1905,42.33166,-71.03383
1901694000,1200000,336.7,3564,Conventional,5733,2.5,6,3,0,2,0,R2,N,CV,L,13,1910,42.31105,-71.11961
1901339000,1200000,288.95,4153,Conventional,6570,2.5,6,2,1,2,0,E,N,CV,G,14,1900,42.31025,-71.11223
601037000,1175000,366.39,0,Conventional,0,0,0,0,0,0,0,RL,N,CV,U,0,0,42.336047,-71.049856
2102485000,1175000,358.89,3274,Conventional,5200,2.5,7,3,1,2,1,R2,N,CV,G,14,1910,42.33981,-71.15657
104605000,1175000,356.06,3420,Semi_Det,4630,4,4,3,0,2,0,R2,Y,SD,F,9,1900,42.36519,-71.03468
1902360000,1168000,471.73,2476,Colonial,3894,2,4,2,0,1,1,R1,Y,CL,L,8,1935,42.31159,-71.12657
1100169001,1160000,260.32,4456,Conventional,6748,3,5,4,1,2,1,R2,Y,CV,M,11,2006,42.324445,-71.093035
200118000,1150000,523.2,2333,Colonial,3704,3.5,3,2,1,1,1,R1,N,CL,G,17,1840,42.37994,-71.06177
2100448000,1150000,506.16,2272,Conventional,3794,2,8,4,0,3,0,R3,N,CV,G,14,1890,42.3553,-71.128
201120000,1150000,436.93,2632,Row_Middle,3632,3,3,2,1,1,2,R1,Y,RM,F,9,1880,42.38093,-71.06961
2003891000,1150000,410.57,2399,Colonial,4149,1.5,5,2,1,1,1,R1,N,CL,G,9,1940,42.29899,-71.14429
2003892000,1150000,378.17,0,Colonial,0,0,0,0,0,0,0,RL,N,CL,U,0,0,42.298875,-71.144381
1000574000,1150000,372.41,3088,Decker,4254,3,9,3,0,3,0,R3,Y,DK,F,18,1905,42.33219,-71.1004
1900115000,1135000,445.8,2546,Colonial,4445,2,5,3,0,1,0,R1,Y,CL,G,10,1885,42.32175,-71.10855
203769000,1130000,716.55,1577,Colonial,2232,2.5,4,2,0,1,4,R1,Y,CL,L,7,1850,42.372966,-71.063743
201249000,1117500,477.56,2409,Row_End,3686,3,4,2,1,1,1,R1,Y,RE,F,17,2005,42.383298,-71.070992
201098000,1112500,661.02,1683,Row_End,2244,3,3,1,0,1,3,R1,Y,RE,F,7,1875,42.380867,-71.069307
2006675000,1110000,381.57,2909,Colonial,4500,2.5,6,3,1,1,0,R1,Y,CL,G,11,1900,42.28686,-71.16171
200360000,1100000,586.67,2346,Row_End,3123,3,4,2,0,1,0,R1,Y,RE,M,8,1870,42.37775,-71.06309
2003696000,1100000,434.44,1120,Colonial,2424,1,2,1,0,1,1,R1,Y,CL,G,5,1955,42.29488,-71.13742
2100506000,1100000,335.06,3388,Conventional,5227,2.5,5,3,1,2,0,R2,N,CV,G,11,1885,42.35464,-71.12806
2102745000,1100000,320.98,3427,Conventional,6028,2,4,2,0,2,0,R2,N,CV,G,12,1930,42.3438,-71.14818
1103394000,1100000,315.64,3485,Conventional,5140,3.5,7,4,0,3,1,R3,Y,CV,G,17,1905,42.30452,-71.11765
2005844010,1100000,293.8,3232,Colonial,6074,2,4,2,1,1,1,R1,Y,CL,G,8,2002,42.288738,-71.149392
1901740000,1100000,257.79,4267,Conventional,7396,2.5,8,2,0,2,0,R2,Y,CV,H,14,1905,42.31009,-71.11832
2006601000,1093600,393.1,2496,Colonial,4788,2,4,2,1,1,2,R1,Y,CL,H,10,1910,42.2867,-71.16021
701319000,1087000,484.4,2244,Conventional,3586,3,5,3,1,3,0,R3,N,CV,F,15,1910,42.33153,-71.04759
1901721000,1078000,385,2778,Two_Fam_Stack,4267,2,5,2,0,2,2,R2,Y,TF,H,13,1922,42.30934,-71.11844
1902786000,1075000,385.58,2788,Colonial,4395,2,4,1,1,1,1,R1,Y,CL,G,8,1920,42.30235,-71.13168
603178000,1075000,357.62,3006,Decker,3271,3,6,3,0,3,0,R3,N,DK,F,14,1930,42.33626,-71.04094
200694000,1050000,409.36,2565,Conventional,3800,2.5,4,3,0,2,2,R2,N,CV,L,10,1802,42.379422,-71.063871
1302983000,1050000,207.43,5062,Decker,7691,3,7,4,0,3,0,R3,Y,DK,H,18,1905,42.31577,-71.05273
1900369000,1036000,271.63,3814,Conventional,5900,2.5,6,2,1,2,0,R2,N,CV,G,12,1905,42.31926,-71.11091
1000591000,1030000,377.84,2726,Conventional,4080,2.5,7,2,0,2,0,R2,N,CV,G,14,1900,42.33102,-71.09895
201140000,1025000,561.95,1824,Row_Middle,2432,3,3,2,1,1,2,R1,Y,RM,F,7,1885,42.3816,-71.06933
1901726000,1015000,355.02,2566,Colonial,4304,2,5,1,1,1,1,R1,Y,CL,L,11,1896,42.31,-71.11873
104636000,1015000,353.78,2100,Row_End,3084,3,3,4,0,3,0,R3,N,RE,G,11,1899,42.36464,-71.03223
1302593000,1010800,405.46,2244,Colonial,3898,2,5,2,1,1,1,R1,Y,CL,L,9,1910,42.31142,-71.04746
201095000,1004000,389.3,2579,Conventional,2944,3,3,3,1,1,0,R1,N,CV,F,6,1870,42.38068,-71.06917
200829000,1000000,588.93,1698,Row_Middle,2364,3,2,2,0,1,2,R1,N,RM,F,7,1860,42.37951,-71.06522
201224010,1000000,586.17,1706,Row_End,2512,2.5,3,2,2,1,2,R1,Y,RE,G,5,2001,42.382669,-71.070634
203202000,1000000,466.85,2142,Row_End,2856,3,4,1,1,1,0,R1,N,RE,F,9,1857,42.37493,-71.06286
1902495000,1000000,368.73,2280,Colonial,3956,2,4,1,1,1,1,R1,Y,CL,G,9,1939,42.30803,-71.12317
601017000,1000000,339.79,2943,Row_Middle,4143,3,6,3,0,3,0,R3,Y,RM,F,12,1890,42.33581,-71.05009
702313000,1000000,338.64,2953,Semi_Det,4243,3,6,3,0,3,0,R3,N,SD,F,15,1905,42.33211,-71.03543
1900616000,1000000,335.57,2980,Colonial,4677,2.5,4,3,0,2,0,R1,Y,CL,M,11,1920,42.31556,-71.10742
1102909000,999000,269.64,3705,Decker,5528,3,9,3,0,3,0,R3,N,DK,F,15,1905,42.30753,-71.10283
1103345000,997500,246.91,4040,Colonial,6973,2,8,2,1,1,0,R1,Y,CL,H,14,1900,42.30371,-71.11569
101944000,990000,185.19,5346,Decker,7512,3,8,3,0,3,0,R3,Y,DK,F,18,1915,42.38931,-71.0012
1900184000,989000,280.73,3523,Conventional,5705,2.5,5,3,0,3,0,R3,N,CV,G,14,1930,42.32111,-71.11014
203053000,980075,390.78,2508,Conventional,3688,3,6,2,0,2,0,R2,N,CV,F,16,1890,42.37784,-71.06067
200181000,980000,390.13,2287,Colonial,3664,2,3,2,2,1,0,R1,Y,CL,G,9,1885,42.37816,-71.06202
1002318000,980000,238.38,4111,Decker,5471,3,9,3,0,3,0,R3,Y,DK,F,18,1900,42.32397,-71.10428
200828000,975000,574.2,1698,Row_End,2280,3,3,3,0,1,1,R1,Y,RE,F,7,1858,42.37949,-71.06515
200857000,975000,449.1,2171,Row_Middle,2352,3,6,1,1,1,0,R1,Y,RM,F,10,1860,42.3797,-71.06522
500069003,972000,642.86,1512,Semi_Det,2128,3,3,1,1,1,3,R1,Y,SD,G,7,1920,42.349559,-71.066161
1902347017,971000,536.46,1810,Other,3926,1,3,2,1,1,1,R1,Y,OH,G,6,1960,42.30845,-71.12539
1901371000,970000,562.65,1724,Two_Fam_Stack,2896,2,2,2,1,2,2,R2,Y,TF,H,9,1900,42.31158,-71.1112
1102361000,970000,234.98,4128,Decker,6416,3,9,3,0,3,0,R3,N,DK,F,18,1905,42.31172,-71.0991
1102360000,970000,230.79,4203,Decker,6516,3,9,3,0,3,0,R3,N,DK,F,18,1905,42.31165,-71.09893
202518000,965000,414.7,2327,Row_End,3128,3.5,4,4,0,3,0,R3,N,RE,G,8,1870,42.379251,-71.069712
1900293000,965000,260.46,3705,Conventional,5723,2.5,9,3,0,3,0,R3,N,CV,G,18,1905,42.31847,-71.10928
603066000,963000,450.42,2704,Conventional,4224,3,4,2,0,2,0,R2,N,CV,F,10,2013,42.336713,-71.043483
203098000,950000,581.04,1635,Semi_Det,2505,2,3,1,1,1,0,R1,Y,SD,G,7,1890,42.37757,-71.06183
200491000,950000,473.82,2005,Row_End,2831,3,4,3,0,3,0,R3,N,RE,F,9,1890,42.37701,-71.06545
200079000,950000,395.67,2397,Row_Middle,3280,3,5,3,0,2,0,R2,Y,RM,F,12,1880,42.38068,-71.0618
201135000,949000,412.97,2298,Semi_Det,3058,3,3,2,1,1,0,R1,Y,SD,M,9,1885,42.38121,-71.06986
703249000,948000,328.82,2883,Decker,3988,3,6,3,0,3,0,R3,N,DK,F,14,1913,42.32528,-71.05896
1901977003,945000,448.72,2106,Colonial,3351,2,3,2,0,1,1,R1,Y,CL,H,7,1949,42.31724,-71.11643
1900772000,934000,417.71,2236,Two_Fam_Stack,3474,2,4,2,0,2,0,R2,N,TF,H,9,1929,42.31842,-71.11115
2102853000,928000,322.22,2880,Two_Fam_Stack,4496,2,6,4,0,2,0,R2,N,TF,H,12,1965,42.34567,-71.15458
1000713000,925000,381.76,2423,Other,4799,2,4,2,0,2,0,R2,N,OH,G,10,1931,42.33088,-71.10076
2002218000,925000,303.48,3048,Colonial,5180,2,6,1,0,1,1,R1,Y,CL,H,10,1920,42.27993,-71.15099
1900188000,920000,281.86,3264,Decker,4620,3,6,3,0,3,0,R3,N,DK,H,15,1900,42.32144,-71.1099
1103063000,909500,567.73,1602,Colonial,2998,2,5,2,1,1,0,R1,Y,CL,G,8,1927,42.30782,-71.11059
1900982090,909500,475.43,1913,Colonial,3835,2,3,2,1,1,2,R1,Y,CL,H,7,1999,42.314093,-71.109415
603490000,908000,348.56,2605,Decker,3476,3,5,3,0,3,0,R3,N,DK,F,14,1890,42.33684,-71.03727
2006611006,900000,451.13,1581,Colonial,2740,2,4,1,1,1,0,R1,Y,CL,G,7,1955,42.28447,-71.15807
201181000,900000,324.44,2762,Row_Middle,3819,3,5,2,0,2,0,R2,Y,RM,F,11,1880,42.38202,-71.07016
103885000,900000,243.9,3632,Row_Middle,4854,4,6,4,3,3,0,R3,Y,RM,F,14,1910,42.37073,-71.03753
1302497000,900000,218.66,4116,Conventional,7588,1.5,4,2,1,2,1,R2,Y,CV,H,13,1925,42.30978,-71.05027
703117000,900000,216.71,3399,Decker,5195,3,6,3,0,3,3,R3,Y,DK,F,15,1905,42.3234,-71.06009
203125010,899000,561.88,1600,Semi_Det,2120,3,3,2,0,1,0,R1,Y,SD,F,7,1993,42.377,-71.06236
1103401000,898018,312.25,2876,Conventional,4556,2.5,5,3,0,2,0,R2,Y,CV,G,12,1895,42.30437,-71.116673
201615000,895000,500.84,1787,Semi_Det,2007,3,3,3,1,1,1,R1,Y,SD,F,6,2011,42.38119,-71.063645
600695000,889900,429.9,2070,Conventional,2598,3,2,1,2,1,0,R1,Y,CV,F,5,0,42.336341,-71.053275
1102430000,889000,285.12,3118,Conventional,5416,2,3,3,0,3,0,R3,Y,CV,H,11,1900,42.31111,-71.10049
1002104000,888000,345.26,2572,Two_Fam_Stack,3755,2,5,2,0,2,2,R2,N,TF,H,10,1925,42.32274,-71.11368
2002235000,887900,264.65,3355,Colonial,5975,2,3,2,1,1,2,R1,Y,CL,G,10,1892,42.28235,-71.1539
2006849000,880000,453.61,1940,Colonial,3231,2,4,1,1,1,1,R1,Y,CL,H,7,1910,42.29235,-71.16235
702221000,880000,303.03,2904,Semi_Det,3854,3,6,3,0,3,0,R3,Y,SD,F,14,1899,42.33277,-71.03915
201387000,879000,557.03,1578,Colonial,2458,2,4,1,1,1,1,R1,Y,CL,G,7,1965,42.382672,-71.069145
202930000,878000,379.59,2313,Colonial,3576,2.5,4,3,0,1,2,R1,Y,CL,G,9,1994,42.37571,-71.05659
701307000,875000,260.65,3357,Semi_Det,4836,3,6,2,0,2,0,R2,Y,SD,F,15,1910,42.33239,-71.047622
2102801000,875000,239.46,3654,Decker,5304,3,6,3,0,3,0,R3,Y,DK,F,15,1917,42.34537,-71.15029
1101230000,875000,233.46,3748,Conventional,5915,2.5,5,3,0,3,0,R3,N,CV,H,14,1900,42.31791,-71.10234
201506000,870000,587.84,1480,Colonial,2472,2,3,3,0,1,1,R1,Y,CL,G,6,1890,42.38163,-71.06657
603664000,870000,439.39,1980,Colonial,3108,2,3,1,1,1,0,R1,Y,CL,H,7,1905,42.33726,-71.03028
701214000,870000,308.29,2822,Decker,3753,3,6,4,0,3,0,R3,Y,DK,F,16,1910,42.332822,-71.049366
203107000,865000,286.14,3023,Conventional,4144,3,3,3,0,2,0,R2,N,CV,F,12,1885,42.378,-71.06146
1900210000,858600,450,1908,Two_Fam_Stack,3406,2,5,2,0,2,0,R2,Y,TF,H,9,1905,42.32049,-71.10829
1902325000,855000,475.53,1798,Colonial,3325,2,3,1,1,1,1,R1,Y,CL,G,7,1940,42.31059,-71.13026
105978000,853125,261.37,3177,Semi_Det,4002,3,6,1,1,1,2,R1,Y,SD,M,12,1900,42.37681,-71.03745
1902880000,850100,259.49,3276,Decker,4842,3,8,3,0,3,0,R3,N,DK,F,15,1900,42.29524,-71.1191
603791000,850000,421,2019,Row_End,2766,3,3,3,0,3,0,R3,N,RE,F,7,1890,42.33676,-71.02732
203100000,850000,408.65,2080,Conventional,2745,3,3,2,0,2,0,R2,Y,CV,F,8,1905,42.37766,-71.06175
2102713000,850000,355.35,2700,Two_Fam_Stack,4120,2,4,2,0,2,2,R2,N,TF,H,12,1920,42.34307,-71.14895
1900380000,850000,213.14,3988,Conventional,5681,3,6,3,0,3,0,R3,N,CV,L,15,1905,42.3197,-71.11071
1001704000,848000,196.57,4314,Conventional,5731,3,6,3,0,3,0,R3,N,CV,M,15,1900,42.32494,-71.1085
1901264000,847500,341.87,2479,Semi_Det,3816,2.5,5,2,0,2,1,R2,N,SD,L,13,1930,42.30849,-71.11309
1901264020,847500,341.87,2479,Semi_Det,3816,2.5,5,2,0,2,1,R2,N,SD,L,13,1930,42.30849,-71.11305
601002000,845000,238.3,3402,Decker,5058,3,6,3,0,3,0,R3,N,DK,F,15,1890,42.33612,-71.05101
201048000,844000,604.15,1340,Row_Middle,2163,2,3,2,1,1,0,R1,Y,RM,G,6,1865,42.38006,-71.06863
1902426001,830000,739.75,1122,Cape,2004,1.5,2,1,0,1,1,R1,Y,CP,G,4,1950,42.31146,-71.12379
201053000,830000,406.66,2041,Colonial,3515,2,4,2,0,1,0,R1,Y,CL,G,9,1880,42.37988,-71.06879
2101162000,830000,295.79,2806,Row_End,4329,2,9,3,1,2,0,R2,N,RE,F,17,1885,42.353031,-71.135921
2007750000,830000,249.77,2924,Victorian,5337,2,3,2,0,1,0,R1,Y,VT,G,9,1910,42.28388,-71.15943
2002032000,830000,245.42,3382,Colonial,6075,2,5,2,1,1,1,R1,Y,CL,G,10,1905,42.27948,-71.1508
201775000,825000,668.02,1235,Semi_Det,2112,2,4,1,1,1,1,R1,Y,SD,G,8,1860,42.38008,-71.063297
701835000,825000,231.29,3567,Decker,4764,3,8,3,0,3,0,R3,Y,DK,F,17,1905,42.33451,-71.04196
702036000,820000,437.1,1876,Semi_Det,2632,3,4,1,0,1,0,R1,Y,SD,M,8,1900,42.33052,-71.03747
1902301000,820000,416.03,1648,Colonial,2692,2,3,2,0,1,1,R1,Y,CL,G,8,1925,42.31124,-71.12895
1902337000,820000,339.69,2040,Colonial,3324,2,3,2,1,1,1,R1,N,CL,G,6,1934,42.30972,-71.12985
200106010,815000,533.73,1527,Semi_Det,2340,2,3,2,1,1,1,R1,Y,SD,H,6,1899,42.3792,-71.06261
1902310003,815000,378.89,2151,Other,2916,1,3,2,1,1,1,R1,Y,OH,G,7,1960,42.31175,-71.1326
1902422000,810000,383.52,2112,Colonial,3615,2,4,1,1,1,1,R1,N,CL,G,7,1935,42.31037,-71.12326
602210010,810000,327.8,2263,Semi_Det,3672,2,3,2,0,2,0,R2,N,SD,G,8,1910,42.334583,-71.037526
2001796000,810000,303.6,2371,Colonial,4256,2,5,2,1,1,1,R1,Y,CL,G,9,1910,42.28254,-71.14893
1302140000,810000,185.69,4362,Decker,6458,3,12,3,3,3,0,R3,N,DK,F,20,1905,42.31367,-71.05728
701735000,805000,651.29,1266,Row_End,1947,2,3,1,0,1,0,R1,Y,RE,F,6,1900,42.33337,-71.04164
