geoid,state,DesignatedOZ,county,Type,Population,medhhincome,PovertyRate,unemprate,medvalue,medrent,severerentburden,vacancyrate,pctwhite,pctBlack,pctHispanic,pctunder18,pctover64,HSorlower,BAorhigher,CBSAType
25001014800,Massachusetts,,Barnstable County,Not Eligible,3517,36066.0,0.081339713,0.044849334,451100.0,837.0,0.1553985872855701,0.3263195435092724,0.809212397,0.0591413136195621,0.004833665,0.1074779641740119,0.4341768552743816,0.3408631153068105,0.4032366824005394,Metro
25001014900,Massachusetts,,Barnstable County,Not Eligible,3768,79856.0,0.079457364,0.057436518,571500.0,897.0,0.2374245472837022,0.4211387434554974,0.9609872611464968,0.0002653927813163482,0.012208067940552,0.1475583864118896,0.4033970276008493,0.1415189026430244,0.6925393108062897,Metro
25001015001,Massachusetts,,Barnstable County,Non-LIC Contiguous,4520,76356.0,0.067303322,0.055442314594984,273900.0,1450.0,0.2824074029922485,0.1695416420698166,0.8181415796279907,0.01659292,0.004646018,0.1955752223730087,0.181637167930603,0.4119282960891723,0.2651421427726745,Metro
25001015002,Massachusetts,,Barnstable County,Low-Income Community,3727,61412.0,0.071639389,0.090967327,332900.0,1302.0,0.3000000119209289,0.2058823555707931,0.85484302,0.066273145,0.0118057420477271,0.1306681036949157,0.4105178415775299,0.292443573474884,0.3699705600738525,Metro
25001015100,Massachusetts,,Barnstable County,Non-LIC Contiguous,3665,75625.0,0.079868712,0.056652807,329500.0,1321.0,0.2511627972126007,0.3479349315166473,0.9017735123634338,0.0160982273519039,0.05238745,0.1787175983190536,0.2379263341426849,0.2897058725357055,0.3650735318660736,Metro
25001015200,Massachusetts,,Barnstable County,Not Eligible,2168,85240.0,0.040129151,0.042694497,495700.0,1465.0,0.0,0.6546052631578947,0.9391143911439116,0.0,0.039667897,0.078874539,0.4409594095940959,0.1911134903640257,0.5342612419700214,Metro
25001015300,Massachusetts,1.0,Barnstable County,Low-Income Community,3068,32786.0,0.2933507263660431,0.079545453,222600.0,935.0,0.30239999294281,0.2341289967298507,0.7353324890136719,0.1013689711689949,0.062255543,0.1297262012958526,0.1098435446619987,0.5733519196510315,0.1253481954336166,Metro
25001990000,Massachusetts,,Barnstable County,Not Eligible,0,,,,,,,,,,,,,,,Metro
25003900100,Massachusetts,1.0,Berkshire County,Low-Income Community,3289,20310.0,0.3216374218463897,0.2290657460689544,142500.0,718.0,0.2609467506408691,0.1523595452308654,0.6725448369979858,0.086348437,0.1647917330265045,0.1772575229406356,0.1723928302526474,0.518714428,0.1493083834648132,Metro
25003900200,Massachusetts,1.0,Berkshire County,Low-Income Community,4227,28692.0,0.2192667126655578,0.1052401736378669,130900.0,781.0,0.2792674899101257,0.1026827022433281,0.7816418409347534,0.081854746,0.0489709,0.2036905586719513,0.1050390377640724,0.5270270109176636,0.1525604575872421,Metro
25003900300,Massachusetts,,Berkshire County,Low-Income Community,2693,43712.0,0.1273148208856582,0.085842408,138700.0,888.0,0.2781457006931305,0.060240965,0.8559227585792542,0.053100631,0.029335314,0.1722985506057739,0.1804678738117218,0.4164550602436065,0.1655662804841995,Metro
