"Reporting ID","Data Year","MapLot","Compliance Status","BEUDO Category","BEUDO Property Type","PD Parcel Living Area","PD Parcel Units","Address","Year Built","Buildings Included","Buildings Included Count","Primary Property Type - Self Selected","All Property Uses","Property GFA - Self Reported (ft2)","Reported Residential Units","Owner","Owner Line 2","ENERGY STAR Score","Electricity Use - Grid Purchase (kWh)","Electricity Use - Grid Purchase (kBtu)","Natural Gas Use (therms)","Natural Gas Use (kBtu)","Fuel Oil #1 Use (kBtu)","Fuel Oil #2 Use (kBtu)","Fuel Oil #4 Use (kBtu)","Fuel Oil #5 & 6 Use (kBtu)","Diesel #2 Use (kBtu)","Kerosene Use (kBtu)","District Chilled Water Use (kBtu)","District Steam Use (kBtu)","Electricity Use - Generated From Onsite Renewable Systems (kWh)","Site Energy Use (kBtu)","Weather Normalized Site Energy Use (kBtu)","Site EUI (kBtu/ft2)","Weather Normalized Site EUI (kBtu/ft2)","Source Energy Use (kBtu)","Weather Normalized Source Energy Use (kBtu)","Source EUI (kBtu/ft2)","Weather Normalized Source EUI (kBtu/ft2)","Total GHG Emissions (Metric Tons CO2e)","Water Use (All Water Sources) (kgal)","Water Intensity (All Water Sources) (gal/ft2)","Grid Electricity Emissions Factor (Metric Tons CO2e per Million Btus)","Grid Electricity Emissions (Metric Tons CO2e)","Natural Gas Emissions Factor (Metric Tons CO2e per Million Btus)","Natural Gas Emissions (Metric Tons CO2e)","Fuel Oil #1 Emissions Factor (Metric Tons CO2e per Million Btus)","Fuel Oil #1 Emissions (Metric Tons CO2e)","Fuel Oil #2 Emissions Factor (Metric Tons CO2e per Million Btus)","Fuel Oil #2 Emissions (Metric Tons CO2e)","Fuel Oil #4 Emissions Factor (Metric Tons CO2e per Million Btus)","Fuel Oil #4 Emissions (Metric Tons CO2e)","Fuel Oil #5 or #6 Emissions Factor (Metric Tons CO2e per Million Btus)","Fuel Oil #5 or #6 Emissions (Metric Tons CO2e)","Diesel Emissions Factor (Metric Tons CO2e per Million Btus)","Diesel Emissions (Metric Tons CO2e)","Kerosene Emissions Factor (Metric Tons CO2e per Million Btus)","Kerosene Emissions (Metric Tons CO2e)","District Steam Emissions Factor (Metric Tons CO2e per Million Btus)","District Steam Emissions (Metric Tons CO2e)","District Chilled Water Emissions Factor (Metric Tons CO2e per Million Btus)","District Chilled Water Emissions (Metric Tons CO2e)","Latitude","Longitude","Coordinates"
"B1404","2015","63-128","Non-Compliant","Non-Residential","College/University","25,365","1","345 Vassar Street","2001","746-2","1","College/University","Office (8547.9),College/University (26000.0)","26,000",,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","C/O MIT INVESTMENTS MANAGEMENT CO",,,,,,,,,,,,,,,,,,,,,,,"0",,,"0.0767","0","0.0531","0","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3547","-71.1066","POINT (-71.1065664886992 42.3546528802995)"
"B1301","2021","169-102","Compliant","Non-Residential","Office","51,306",,"1414 Massachusetts Avenue","1873","345-7","1","Office","Office (55928.0),Bank Branch (26417.0),Parking (1716.0)","82,345",,"WELLS OPERATING PARTNERSHIP, L.P","","67","971,480.1","3,314,690.3","18,432.4","1,843,237.4",,,,,,,,,,"5,157,927.7","5,316,711.8","62.6","64.6","11,216,532","11,383,255.3","136.2","138.2","337.6052","51.1","0.62","0.0723","239.7021","0.0531","97.9032","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3739","-71.1196","POINT (-71.1195912600425 42.373876235652)"
"B1448","2021","43-77","Compliant","Non-Residential","Technology/Science","234,164","1","415 Main Street","2006","625-7","1","Laboratory","Office (56699.0),Laboratory (137000.0),Fast Food Restaurant (5496.0),Other (31833.0)","231,028",,"MIT 415 MAIN STREET FEE OWNER LLC","C/O MIT INVESTMENT MGMT CO",,"13,131,121.7","44,803,387.3","550,551","55,055,102.2",,,,,,,,,,"99,858,489.4","100,486,148.7","432.2","435","183,257,341.6","183,916,383.8","793.2","796.1","6,164.2008","11,356.3","49.16","0.0723","3,239.9601","0.0531","2,924.2407","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.363","-71.0887","POINT (-71.0887392984326 42.3630294188695)"
"B1081","2022","14-36","Compliant","Non-Residential","Office","369,492","10","101 MAIN STREET","1986","620-5","1","Office","Restaurant (3690.0),Office (334766.0),Parking (76575.0),Other (3374.0)","341,830",,"RREEF AMERICA REIT II CORP. PPP","C/O CB RICHARD ELLIS","80","3,902,824","13,316,435.5","17,171.1","1,717,111.9",,,,,,,,,,"15,033,547.4","15,223,589.1","44","44.5","39,088,986.9","39,288,530.6","114.4","114.9","1,047.8292","2,250","6.58","0.0718","956.6256","0.0531","91.2035","0.0735","0","0.0742","0","0.0753","0","0.0743","0","0.0752","0","0.0754","0","0.0664","0","0.0575","0","42.3624","-71.0816","POINT (-71.0815941211419 42.3623572193129)"
"B1167","2022","144-1","Compliant","Non-Residential","College/University","2,402,868","15","33 Kirkland St","1964","241-53","1","College/University","College/University (170771.0)","170,771",,"PRESIDENT & FELLOWS OF HARVARD COLLEGE",,,"1,042,182.6","3,555,927","2,508.6","250,864",,,,,,,"2,711,718.4","8,785,290.2",,"15,303,799.6","15,676,049.8","89.6","91.8","23,256,731.8","23,762,575.5","136.2","139.1","1,007.9097","570.7","3.34","0.0718","255.4506","0.0531","13.3245","0.0735","0","0.0742","0","0.0753","0","0.0743","0","0.0752","0","0.0754","0","0.0664","583.3301","0.0575","155.8045","42.3771","-71.1135","POINT (-71.1134690447704 42.3771445464015)"
"B1187","2020","157-51","Compliant","Residential","Residential","77,870","83","15 Everett Street","1937","243-19","1","Multifamily Housing","Multifamily Housing (77455.0)","77,455","83","PRESIDENT & FELLOWS OF HARVARD COLLEGE","C/O HARVARD REAL ESTATE INC.","96","182,099.6","621,323.8","28,723.8","2,872,376.7",,,,,,,,,,"3,493,700.5","3,743,437.1","45.1","48.3","4,755,702.3","5,017,925.7","61.4","64.8","196.5874","1,295.4","16.73","0.0709","44.0217","0.0531","152.5657","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3802","-71.1185","POINT (-71.1184556315826 42.3802016947232)"
"B1767","2021","54-19","Compliant","Non-Residential","Technology/Science","83,329",,"270 Albany Street","1992","699-21","1","Laboratory","Laboratory (73347.0)","73,347",,"BMR-270 ALBANY STREET LLC,","",,"3,467,926.5","11,832,565.2","148,525.4","14,852,542.1",,,,,,,,,,"26,685,107.2","27,316,474.3","363.8","372.4","48,726,351.6","49,131,628.8","664.3","669.9","1,644.5626","2,513.7","34.27","0.0723","855.6728","0.0531","788.8898","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3577","-71.1019","POINT (-71.101929367822 42.3576581859663)"
"B1216","2020","144-1","Non-Compliant","Non-Residential","College/University","2,402,868","15","29 Francis Avenue","1943","241-63","1","College/University","College/University (56784.0)","56,784",,"PRESIDENT & FELLOWS OF HARVARD COLLEGE",,,"184,096.4","628,137",,,,,,,,,,"1,132,690",,"1,760,827","1,880,304.6","31","33.1","3,121,456.2","3,265,192.7","55","57.5","119.7133","1,330.3","23.43","0.0709","44.5044","0.0531","0","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","75.2089","0.0575","0","42.3791","-71.1131","POINT (-71.1131452974074 42.3791123997845)"
"B1531","2021","264-34","Compliant","Residential","Residential","156,945","154","247 Garden Street","1972","89-1, 89-4, 89-14, 89-9, 89-16, 89-17","6","Multifamily Housing","Multifamily Housing (117581.0)","117,581","154","BRISTON ARMS PRESERVATION","","87","884,734.1","3,018,712.8","18,727.9","1,872,793.5",,,,,,,,,,"4,891,506.3","5,092,488.9","41.6","43.3","10,418,828.9","10,896,085.7","88.6","92.7","317.7715","7,759.8","66","0.0723","218.2984","0.0531","99.4731","0.0735","0","0.0742","0","0.0753","0","0.0753","0","0.0742","0","0.0777","0","0.0664","0","0.0575","0","42.3871","-71.1361","POINT (-71.1361288699813 42.3871414250434)"
"B1245","2022","159-1","Compliant","Non-Residential","College/University","1,223,988","1,027","31 Harvard Yard","1915","318-24","1","College/University","College/University (234046.0)","234,046",,"PRESIDENT & FELLOWS OF HARVARD COLLEGE",,,"1,842,185","6,285,535.3","9,173.4","917,341",,,,,,,"7,284,775.9","4,701,469.9",,"19,189,122.2","19,112,078","82","81.7","30,847,914.5","30,854,795.4","131.8","131.8","1,230.9888","765.8","3.27","0.0718","451.5401","0.0531","48.7241","0.0735","0","0.0742","0","0.0753","0","0.0743","0","0.0752","0","0.0754","0","0.0664","312.1705","0.0575","418.5541","42.3735","-71.1165","POINT (-71.1164915431343 42.3734564837058)"
